original_column_name,column_name,column_description,data_format,value_description
bioguide,,The unique alphanumeric ID for this legislator ,text,
facebook,,The username of the current official Facebook presence of the legislator.,text,
facebook_id,,The numeric ID of the current official Facebook presence of the legislator.,real,
govtrack,,The numeric ID for this legislator on GovTrack.us,real,
instagram,,The current official Instagram handle of the legislator.,text,
instagram_id,,The numeric ID of the current official Instagram handle of the legislator.,real,
thomas,,The numeric ID for this legislator on http://thomas.gov and http://beta.congress.gov. ,integer,
twitter,,The current official Twitter handle of the legislator.,text,
twitter_id,,The numeric ID of the current official twitter handle of the legislator.,real,
youtube,,The current official YouTube username of the legislator.,text,
youtube_id,,The current official YouTube channel ID of the legislator.,text,
